Date,CategoricalFeature1,CategoricalFeature2,Activity1,Activity2,Target,Activity3,Activity4,Activity5,Activity6,Activity7,Activity8,Activity9,Activity10,Activity11,Activity12,Activity13,Activity14,Activity15,Activity16
1/1/2015,Cat_1,Cat_1,NA,4684,64,2388,4361,NA,NA,3917,NA,1403,2514,5575,7475,3816,NA,2894,NA
1/1/2015,Cat_3,Cat_1,NA,1247,71,611,1182,NA,NA,1061,NA,408,723,1724,2440,1060,NA,544,NA
1/1/2015,Cat_1,Cat_10,NA,962,59,617,1862,NA,NA,6623,NA,365,399,1174,1679,750,NA,292,NA
1/1/2015,Cat_3,Cat_10,NA,437,48,262,761,NA,NA,3075,NA,158,222,415,656,340,NA,167,NA
1/1/2015,Cat_1,Cat_11,NA,43,NA,30,43,NA,NA,42,NA,NA,30,29,30,29,NA,27,NA
1/1/2015,Cat_1,Cat_2,NA,66192,485,16092,47437,NA,NA,47763,NA,14012,41778,130170,171597,71765,NA,41454,NA
1/1/2015,Cat_3,Cat_2,NA,21968,150,5060,16216,NA,NA,9398,NA,3907,14249,41264,54204,20504,NA,17983,NA
1/1/2015,Cat_1,Cat_3,NA,1130,44,920,1837,NA,NA,1126,NA,489,423,1550,2067,912,NA,629,NA
1/1/2015,Cat_3,Cat_3,NA,479,27,378,476,NA,NA,341,NA,97,200,443,602,403,NA,179,NA
1/1/2015,Cat_1,Cat_4,NA,10751,97,7493,7157,NA,NA,4313,NA,2690,6694,13176,16609,6732,NA,9069,NA
1/1/2015,Cat_3,Cat_4,NA,1851,31,1609,1404,NA,NA,635,NA,370,832,2134,2934,1323,NA,1066,NA
1/1/2015,Cat_1,Cat_5,NA,72548,799,20816,59457,NA,NA,32573,NA,17336,37013,96636,124267,59178,NA,45332,NA
1/1/2015,Cat_3,Cat_5,NA,27806,187,8050,18398,NA,NA,11339,NA,4266,15363,37876,48405,24966,NA,17399,NA
1/1/2015,Cat_1,Cat_6,NA,32,NA,31,NA,NA,NA,29,NA,NA,NA,32,28,NA,NA,28,NA
1/1/2015,Cat_4,Cat_6,NA,15238,836,103196,96031,NA,NA,108849,NA,65496,61015,250065,328335,69267,NA,78386,NA
1/1/2015,Cat_1,Cat_7,NA,7543,195,8792,8089,NA,NA,7695,NA,2222,3683,8249,10549,5502,NA,4103,NA
1/1/2015,Cat_3,Cat_7,NA,2542,43,1012,2160,NA,NA,3678,NA,532,755,2598,3674,1584,NA,1385,NA
1/1/2015,Cat_1,Cat_8,NA,125889,977,35703,88527,NA,NA,31865,NA,27438,97441,182608,267047,116330,NA,144021,NA
1/1/2015,Cat_3,Cat_8,NA,59656,237,14875,36532,NA,NA,8928,NA,7391,44876,83462,128547,44425,NA,65423,NA
1/1/2015,Cat_1,Cat_9,NA,7705,130,4842,8142,NA,NA,2792,NA,1742,5556,10907,15860,5986,NA,8039,NA
1/1/2015,Cat_3,Cat_9,NA,5588,93,1239,7704,NA,NA,795,NA,2338,4365,7269,11585,4952,NA,4603,NA
1/2/2015,Cat_1,Cat_1,NA,5453,81,3536,4368,NA,NA,4027,NA,1536,3280,6751,8943,5005,NA,2747,NA
1/2/2015,Cat_3,Cat_1,NA,798,32,484,793,NA,NA,486,NA,220,545,1274,1588,714,NA,459,NA
1/2/2015,Cat_1,Cat_10,NA,627,31,575,882,NA,NA,4051,NA,279,210,1153,1565,634,NA,241,NA
1/2/2015,Cat_3,Cat_10,NA,228,31,335,376,NA,NA,1847,NA,54,57,149,283,86,NA,65,NA
1/2/2015,Cat_1,Cat_11,NA,53,NA,48,30,NA,NA,31,NA,NA,33,46,47,33,NA,27,NA
1/2/2015,Cat_1,Cat_2,NA,60621,640,24482,46658,NA,NA,41334,NA,17772,39575,129371,166316,81805,NA,40991,NA
1/2/2015,Cat_3,Cat_2,NA,12564,180,4370,9700,NA,NA,3856,NA,2442,8723,24463,31445,16091,NA,9124,NA
1/2/2015,Cat_1,Cat_3,NA,1087,53,1125,1826,NA,NA,860,NA,470,539,2110,2609,1488,NA,600,NA
1/2/2015,Cat_3,Cat_3,NA,299,32,177,491,NA,NA,138,NA,71,135,409,597,313,NA,129,NA
1/2/2015,Cat_1,Cat_4,NA,12198,242,8548,7726,NA,NA,3338,NA,2790,6350,12773,14421,8152,NA,7748,NA
1/2/2015,Cat_3,Cat_4,NA,1163,40,1305,997,NA,NA,361,NA,289,597,1429,1680,924,NA,474,NA
1/2/2015,Cat_1,Cat_5,NA,62345,754,23750,55978,NA,NA,28508,NA,18396,41402,124158,121314,77073,NA,47133,NA
1/2/2015,Cat_3,Cat_5,NA,14953,140,6469,12956,NA,NA,5100,NA,3029,11179,27590,31179,16999,NA,10046,NA
